Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Downhill,C 7535,0,0.202827,0.041695,0.323508,0.000352,0.110359,4873.429873,45.7159,0.418555,55.15648685,-6.824200382,1,sunflower and peanuts
Dreenan,H 2086,0.157783,0.117223,0,0.322133,0.174788,0.226173,1350.543052,24.2707,0.228074,54.7216168,-7.690376387,1,sunflower and peanuts
Dromantine,J 0835,0,0.114222,0.009633,0.035037,0,0.106233,2235.29519,19.4545,0.789767,54.2524839,-6.343737914,1,sunflower and peanuts
Drum manor,H 7677,0,0.221163,0.014162,0.197726,0,0,1693.440061,35.818199,0.560871,54.63545137,-6.823800892,1,sunflower and peanuts
Drumany Kesh,H 1767,0,0.058447,0,0.495489,0,0.341147,2975.425542,19.47635,0.446064,54.55105074,-7.738032685,1,sunflower and peanuts
Drumbanagher,J 0537,0,0.040089,0.007256,0.022181,0.023815,0.170742,1256.854012,59.292032,0.887443,54.27106759,-6.389045133,1,sunflower and peanuts
Drumcairne,H 8770,0,0.368723,0,0.101088,0,0.038902,490.913372,34.986599,0.530189,54.57081269,-6.655575862,1,sunflower and peanuts
Drumkeeran,H 2067,0,0,0,0.307514,0.007305,0.20186,2597.291309,18.17355,0.685182,54.55094134,-7.691671897,1,sunflower and peanuts
Dunlade Glebe,C 5616,0.334783,0.108191,0.006593,0.021675,0.183583,0,978.547487,304.31118,0.345174,54.98835216,-7.125944358,1,sunflower and peanuts
Dunmoyle,H 6162,0.255804,0.020679,0.050758,0.28493,0.058483,0.112515,4417.898671,43.2628,0.208294,54.50275605,-7.059163097,1,sunflower and peanuts
Dunmurry,J 2868,0,0.069901,0.689096,0.042509,0.026028,0,5325.130226,246.492069,0.172466,54.54415538,-6.022865479,1,sunflower and peanuts
Dunmurry Golf Club,J 3068,0,0.086756,0.247485,0.06761,0.05947,0,0,16.4356,0.515599,54.54364644,-5.99198197,1,sunflower and peanuts
Edenegan,H 3358,0,0.025809,0,0.266063,0,0.119971,2180.994869,369.329897,0.708128,54.46941604,-7.491784872,1,sunflower and peanuts
Edenmore,H 3159,0,0.040957,0,0.176335,0,0.391021,3564.879978,27.5225,0.782709,54.47852487,-7.52252515,1,sunflower and peanuts
Ely Lodge,H 1851,0,0.734211,0.046342,0.123523,0,0,0,48.85515,0.056208,54.40728537,-7.723551367,1,sunflower and peanuts
Enagh Lough,C 4619,0,0.211082,0.146551,0.030189,0,0,0,38.740898,0.479244,55.01632004,-7.281663254,1,sunflower and peanuts
Errigal Glen,C 8114,0.068263,0.147941,0.026697,0,0.117666,0.112518,3267.559184,7.47353,0.639432,54.96695802,-6.736059459,1,sunflower and peanuts
Errigal Wood,H 5758,0.027315,0.124899,0,0.177909,0.006723,0.110231,2963.030409,24.861543,0.663155,54.46729197,-7.121668696,1,sunflower and peanuts
Ervey,C 5010,0,0.248377,0.100156,0,0,0.035495,4908.237426,50.355349,0.651467,54.93509933,-7.220707717,1,sunflower and peanuts
"Essbeagh, Ballinamallard",H 2951,0,0.116408,0.016228,0.006985,0.023142,0.093019,1850.701407,21.660933,0.837235,54.40677836,-7.554158999,1,sunflower and peanuts
"Faughanvale, Greysteel",C 5720,0,0.088487,0.04969,0.003272,0,0.363777,3824.541896,18.633699,0.84917,55.02416454,-7.10952902,1,sunflower and peanuts
Favour Royal,H 6253,0,0.095227,0.002872,0.218989,0.015293,0.070087,2336.459434,40.472,0.666169,54.42179639,-7.045613296,1,sunflower and peanuts
Feeney,C 6315,0.427164,0.059136,0,0.347795,0,0,4255.217891,107.428801,0.165905,54.9785359,-7.016829987,1,sunflower and peanuts
Fews 1,H 9133,0.135651,0.141963,0.026637,0.522866,0,0.05429,1035.509195,28.629,0.172884,54.23782345,-6.605075886,1,sunflower and peanuts
Fews 2,H 8930,0,0.023484,0.028854,0.223905,0.03116,0.099187,0,27.293501,0.673195,54.21123121,-6.636628609,1,sunflower and peanuts
Fintona,H 4460,0,0.010362,0.099691,0.364268,0,0.116256,3711.855451,94.443398,0.516467,54.4865485,-7.321845063,1,sunflower and peanuts
Flagstaff woods,J 1021,0,0.437026,0.008903,0.033608,0.0276,0.071481,1106.383822,12.8319,0.326037,54.12634076,-6.318180377,1,sunflower and peanuts
Fofanny Dam,J 2828,0,0,0,0.072185,0.152186,0.032349,3995.915562,118.432152,0.736753,54.1850294,-6.040048318,1,sunflower and peanuts
Galloon Island,H 3921,0,0.146423,0,0,0.037533,0,0,11.691833,0.729713,54.13661811,-7.404074514,1,sunflower and peanuts
Garranard,J 3875,0,0.038322,0.689706,0.081373,0.066262,0,3271.178271,652.682532,0.124336,54.60437026,-5.865174365,1,sunflower and peanuts
Garrison Glebe,H 2669,0,0.151099,0,0.207931,0.221253,0.27647,4444.483267,40.645766,0.419717,54.56863513,-7.598774884,1,sunflower and peanuts
Garron Tower,D 2922,0,0.045954,0.038794,0.015968,0.00772,0.106906,3897.554862,315.936445,0.858316,55.02867741,-5.983432021,1,sunflower and peanuts
Garry Bog,C 9529,0.070146,0,0,0.668519,0,0,0,31.318701,0.261335,55.09918134,-6.512563569,1,sunflower and peanuts
Garvagh,C 8216,0,0.107797,0,0.431514,0.024003,0.119115,1246.804781,4.0467,0.429837,54.98475533,-6.719878849,1,sunflower and peanuts
Gilford,J 0747,0,0.093556,0.054301,0.036502,0.008202,0.268163,3278.00499,2413.413985,0.771799,54.36045186,-6.354779774,1,sunflower and peanuts
Glack wood ,H 4738,0,0.277566,0.006321,0.183921,0,0.375358,4217.061518,39.2304,0.532192,54.28866032,-7.279034447,1,sunflower and peanuts
Glack Wood/Jenkin,H 4641,0,0.240299,0,0.457733,0,0.129195,3411.905676,4.73723,0.301918,54.31569977,-7.293927437,1,sunflower and peanuts
Glenanne,H 9733,0,0.033504,0.088237,0.021074,0,0.001479,3033.838926,26.1082,0.690113,54.23672332,-6.513086982,1,sunflower and peanuts
